Marke,Modell,Farbe,Erstzulassung,Jahr,Preis (Euro),Leistung (kW),Leistung (PS),Getriebe,Kraftstoff,Verbrauch (l/100 km),Kilometerstand (km),Bemerkungen,Zustand
volkswagen,Volkswagen Passat CC,schwarz,09/2009,2009,9800,147,200,Schaltgetriebe,Benzin,7.9,170000.0,Passat CC 2.0 TSI Individual,Gebrauchtwagen
ford,Ford C-Max,schwarz,06/2018,2018,13200,92,125,Schaltgetriebe,Benzin,5.7,83447.0,1.0 EcoBoost Start-Stopp-System Titanium,Gebrauchtwagen
mini,MINI Cooper SD Countryman,grün,04/2017,2017,24570,140,190,Automatik,Diesel,4.8,104131.0,JCW Chili Paket Panorama LED HUD 18 Zoll,Gebrauchtwagen
mercedes-benz,Mercedes-Benz E 220,grau,05/2013,2013,7990,125,170,Automatik,Diesel,5.0,330000.0,T CDI 7G-TRONIC,Gebrauchtwagen
skoda,Skoda Superb,grau,04/2019,2019,30990,140,190,Automatik,Diesel,4.9,45987.0,Combi 2.0 TDI L&K 4x4 Bi-Xenon Navi AHZV,Gebrauchtwagen
mercedes-benz,Mercedes-Benz CLK 200,schwarz,03/2009,2009,17980,135,184,Automatik,Benzin,8.3,65600.0,K Grand Edition AMG Xenon Navi Leder PDC,Gebrauchtwagen
bmw,BMW M6,schwarz,06/2012,2012,69000,412,560,Automatik,Benzin,10.3,39000.0,Cabrio-Volleder-1. Hand-BIXenon-Rückfahrkam.,Gebrauchtwagen
renault,Renault Grand Scenic,weiß,06/2022,2022,33490,116,158,Automatik,Benzin,5.9,21070.0,TCE160 EDC Executive LED Leder 7-Si,junger Gebrauchtwagen
opel,Opel Tigra,silber,12/2009,2009,7490,66,90,Schaltgetriebe,Benzin,6.1,45000.0,1.4 EU4 Edition Sitzheizung,Gebrauchtwagen
bmw,BMW 325,blau,04/2007,2007,19500,160,218,Schaltgetriebe,Benzin,7.9,142000.0,BMW 325i E93 Cabrio,Gebrauchtwagen
volkswagen,Volkswagen Golf Sportsvan,schwarz,02/2017,2017,16490,85,116,Automatik,Diesel,4.1,54598.0,"Beetle 1.2 TSI BMT Klima, Alu 19"" Scheckheft",Gebrauchtwagen
volkswagen,Volkswagen Golf,rot,05/2009,2009,8900,81,110,Automatik,Diesel,5.3,210000.0,VI ABT,Gebrauchtwagen
mercedes-benz,Mercedes-Benz C 220,braun,10/2016,2016,25999,125,170,Automatik,Diesel,4.3,72671.0,C -Klasse T-Modell C 220 BlueTEC / d T,Gebrauchtwagen
mercedes-benz,Mercedes-Benz C 200,schwarz,05/2022,2022,36499,120,163,Automatik,Diesel,4.5,34498.0,T d Avantgarde 2x+AHK+NavPrem+LED+DAB+MBUX,junger Gebrauchtwagen
opel,Opel Zafira,silber,09/2008,2008,5290,103,140,Schaltgetriebe,Benzin,7.4,163500.0,"B  ""Edition""    ""im Kundenauftrag !",Gebrauchtwagen
fiat,Fiat 500,rot,09/2020,2020,13300,51,69,Schaltgetriebe,Benzin,4.1,20000.0,1.0 GSE N3 Hybrid Lounge,junger Gebrauchtwagen
audi,Audi S3,blau,05/2023,2023,55444,228,310,Automatik,Benzin,8.2,4900.0,Sportback Matrix Pano b+O Kamera ACC,Jahreswagen
ford,Ford Puma,grau,03/2022,2022,23450,114,155,Schaltgetriebe,Benzin,5.5,15008.0,"1.0 EB Hybrid ST-LINE, Navi, PDC, Gjr",junger Gebrauchtwagen
seat,SEAT Leon,blau,09/2016,2016,18420,135,184,Schaltgetriebe,Diesel,4.8,58900.0,Sportstourer FR 2.0TDI 184PS PANO+LED+NAVI+DAB+AP,Gebrauchtwagen
mini,MINI Cooper S Clubman,grau,03/2019,2019,18200,141,192,Schaltgetriebe,Benzin,6.4,54500.0,Chili LED Navi HuD,Gebrauchtwagen
ford,Ford Fiesta,rot,07/2019,2019,28450,147,200,Schaltgetriebe,Benzin,6.0,51000.0,1.5 EcoBoost S&S ST,Gebrauchtwagen
peugeot,Peugeot 3008,schwarz,03/2018,2018,26250,88,120,Schaltgetriebe,Diesel,4.0,58405.0,3008 BlueHDi Allure LED-Scheinwerfer,Gebrauchtwagen
bmw,BMW 520,weiß,03/2015,2015,14000,140,190,Schaltgetriebe,Diesel,4.8,330000.0,5er 520d Touring Luxury Line,Gebrauchtwagen
skoda,Skoda Fabia,rot,05/2023,2023,25988,110,150,Automatik,Benzin,4.8,10.0,1.5 TSI 150 DSG Monte Carlo Nav Pano 17Z,Neuwagen
volkswagen,Volkswagen Golf,rot,04/2022,2022,27460,110,150,Schaltgetriebe,Benzin,5.2,2990.0,"VIII 1.5 TSI Style Navi, Harman Kardon",junger Gebrauchtwagen
citroen,Citroen C5 Aircross,grau,05/2023,2023,37995,96,131,Automatik,Diesel,5.6,1.0,130 BHDI Superior Pano ACC 360 Grad,Neuwagen
porsche,Porsche Macan,schwarz,05/2018,2018,65790,265,360,Automatik,Benzin,8.9,45629.0,"GTS 360° Bose Pano Chrono LED WLAN 20""LMR",Gebrauchtwagen
volkswagen,Volkswagen Golf,silber,03/2010,2010,10900,90,122,Schaltgetriebe,Benzin,6.3,159000.0,VI Variant Highline*Panoramadach*,Gebrauchtwagen
skoda,Skoda Scala,schwarz,02/2020,2020,22490,110,150,Schaltgetriebe,Benzin,4.8,27987.0,1.5TSI Style*Panorama* LED*Climatronic*,junger Gebrauchtwagen
mercedes-benz,Mercedes-Benz C 220,silber,08/2012,2012,9499,125,170,Automatik,Diesel,6.1,200000.0,CDI T-Modell *AUTOMAT*KM nicht Original!,Gebrauchtwagen
audi,Audi TT RS,schwarz,07/2018,2018,67700,294,400,Automatik,Benzin,8.2,62379.0,TT RS Coupe,Gebrauchtwagen
ford,Ford Tourneo Custom,schwarz,06/2021,2021,39950,96,131,Schaltgetriebe,Diesel,6.3,49540.0,Titanium 320 L2 / BLIS / Navi,junger Gebrauchtwagen
opel,Opel Corsa,blau,01/2022,2022,17700,74,101,Schaltgetriebe,Benzin,4.3,20300.0,Elegance+Navi+Spurhalte+Klima+,junger Gebrauchtwagen
ford,Ford C-Max,grau,09/2007,2007,3300,74,101,Schaltgetriebe,Benzin,6.9,239800.0,Style (CB3) 1-HAND.,Gebrauchtwagen
volkswagen,Volkswagen Tiguan,blau,01/2018,2018,37990,176,239,Automatik,Diesel,6.4,42410.0,2.0 TDI DSG 4M R-Line VC ACC LED Navi 20Z,Gebrauchtwagen
renault,Renault Megane,weiß,05/2016,2016,11500,81,110,Schaltgetriebe,Diesel,3.6,82900.0,Coupe - wenig km - Sehr gute Ausstattung!,Gebrauchtwagen
bmw,BMW X2,gold,03/2020,2020,33870,170,231,Automatik,Diesel,5.1,40153.0,xDrive25d A M-Sport AHK|Navi|MFL|PDC|RFK|SHZ|BT&US,junger Gebrauchtwagen
ford,Ford Fiesta,blau,09/2015,2015,21480,60,82,Schaltgetriebe,Benzin,5.2,72757.0,"Einparkhilfe, Sitzheizung",Gebrauchtwagen
kia,Kia Stonic,grau,07/2018,2018,15500,73,99,Schaltgetriebe,Benzin,5.5,19900.0,Stonic 1.4 Edition 7,Gebrauchtwagen
volkswagen,Volkswagen Golf Sportsvan,silber,07/2015,2015,14980,92,125,Schaltgetriebe,Benzin,5.4,82679.0,VII*Lounge*1.Hand*Bi-Xenon*Navi*Panor*MFL*GRA.,Gebrauchtwagen
ford,Ford Edge,grau,11/2016,2016,24840,154,209,Automatik,Diesel,5.8,51294.0,2.0 TDCi Bi-Turbo 4x4 Titanium LED Navi DAB,Gebrauchtwagen
peugeot,Peugeot 2008,schwarz,10/2019,2019,17500,75,102,Schaltgetriebe,Diesel,3.5,38164.0,BlueHDi 100 STOP & START Allure,Gebrauchtwagen
mercedes-benz,Mercedes-Benz E 220,schwarz,04/2016,2016,16900,125,170,Schaltgetriebe,Diesel,4.3,189000.0,d Coupe BlueTEC Sportpaket-Navi-LED-PDC-,Gebrauchtwagen
skoda,Skoda Superb,rot,02/2017,2017,26990,140,190,Automatik,Diesel,5.1,84237.0,Combi 2.0 TDI DSG 4x4 SportLine Canton,Gebrauchtwagen
seat,SEAT Ibiza,schwarz,03/2020,2020,17950,85,116,Schaltgetriebe,Benzin,5.5,46500.0,1.0 TSI Beats NAVI LED KAMERA ALU 16,junger Gebrauchtwagen
volkswagen,Volkswagen Golf,rot,11/2021,2021,21822,81,110,Schaltgetriebe,Benzin,4.6,14657.0,8 1.0 TSI BMT Active Navi PDC DAB+ ACC LED,junger Gebrauchtwagen
skoda,Skoda Karoq,blau,06/2019,2019,21990,110,150,Automatik,Diesel,5.5,108700.0,2.0 TDI SCR 4x4 Style DSG NAVI ACC Rückf.K,Gebrauchtwagen
volvo,Volvo C30,schwarz,05/2008,2008,5300,92,125,Schaltgetriebe,Benzin,7.3,186000.0,C30 1.8 Edition,Gebrauchtwagen
skoda,Skoda Octavia,orange,02/2023,2023,46188,147,200,Automatik,Diesel,5.1,3947.0,Combi 2.0 TDI DSG RS*LED*HUD*Sunset*PDC*Keyless*AH,Jahreswagen
bmw,BMW 318,grau,03/2014,2014,14250,105,143,Schaltgetriebe,Benzin,6.6,132207.0,Baureihe Cabrio 318i-TüV-Vollleder-Scheckheft,Gebrauchtwagen
land-rover,Land Rover Discovery Sport,schwarz,09/2020,2020,36530,132,179,Automatik,Diesel,5.8,37450.0,D180 AWD S+NAV+LED+Autom.+MY20,junger Gebrauchtwagen
opel,Opel Corsa,blau,12/2020,2020,16925,74,101,Automatik,Benzin,4.2,21890.0,1.2 Edition Automatik *Sitzheiz/Ganzjahresreifen*,junger Gebrauchtwagen
mercedes-benz,Mercedes-Benz E 200,grau,06/2016,2016,74900,135,184,Automatik,Benzin,6.1,45741.0,Coupe AMG*7G*LED*MASSAGE*TEMPO*NAVI*LEDER,Gebrauchtwagen
volkswagen,Volkswagen Passat,grau,04/2017,2017,17300,140,190,Automatik,Diesel,4.5,181183.0,Passat 2.0 TDI *SHZ*TEMPO*LICHT*PDC*CARPLAY*KEYL,Gebrauchtwagen
audi,Audi A6,silber,01/2020,2020,39850,180,245,Automatik,Benzin,6.8,63294.0,45 2.0 TFSI Avant quattro basis (EURO 6d-TEMP,junger Gebrauchtwagen
opel,Opel Meriva,silber,07/2011,2011,8990,81,110,Schaltgetriebe,Diesel,5.2,112928.0,B Innovation Beheizbares Lenkrad HU neu,Gebrauchtwagen
kia,Kia Rio,blau,06/2022,2022,20499,74,101,Schaltgetriebe,Benzin,4.8,50.0,Exclusive 1.0 T-GDI Paket Premium & Radio,junger Gebrauchtwagen
volkswagen,Volkswagen Golf Variant,silber,08/2015,2015,13995,81,110,Automatik,Benzin,5.4,110100.0,Golf VII Variant 1.2 TSI DSG Lounge AHK Navi,Gebrauchtwagen
skoda,Skoda Superb,weiß,02/2019,2019,24690,110,150,Automatik,Benzin,5.1,50190.0,Limousine 1.5 TSI L&K Navi Leder Sitzheizung Autom,Gebrauchtwagen
opel,Opel Grandland X,rot,12/2019,2019,22990,96,131,Automatik,Diesel,4.1,46550.0,"1.5 AUTOMATIK 120 Jahre, AHK, Sitz- u Lenkradhzg.",Gebrauchtwagen
bmw,BMW 118,silber,07/2007,2007,5990,105,143,Automatik,Diesel,6.0,229000.0,d Automatik PDC SHZ Isofix,Gebrauchtwagen
volkswagen,Volkswagen Touran,schwarz,09/2010,2010,10999,103,140,Schaltgetriebe,Benzin,7.2,160000.0,1.4 TSI,Gebrauchtwagen
volkswagen,Volkswagen Golf,weiß,05/2015,2015,7490,81,110,Schaltgetriebe,Diesel,3.9,298000.0,"VII Variant Trendline BMT/1,6TDI/Navi/Klima",Gebrauchtwagen
skoda,Skoda Fabia,blau,04/2009,2009,3650,63,86,Schaltgetriebe,Benzin,6.8,183000.0,Fabia 1.4 16V Combi COOL Edition,Gebrauchtwagen
skoda,Skoda Octavia,grau,05/2023,2023,42250,147,200,Automatik,Diesel,5.1,500.0,"Combi RS 2,0 TDI+DSG+Pano+LED+ACC+AHK",Jahreswagen
seat,SEAT Arona,schwarz,02/2023,2023,25450,81,110,Automatik,Benzin,4.9,50.0,"FR 1.0TSI DSG,LED, Navi, Kamera, Sitzh. Klima",Jahreswagen
fiat,Fiat 500,rot,08/2014,2014,8970,51,69,Schaltgetriebe,Benzin,5.1,116440.0,Cabrio*el.Verdeck*KLIMA*EURO6*TÜV NEU,Gebrauchtwagen
mercedes-benz,Mercedes-Benz E 300,schwarz,05/2019,2019,39990,180,245,Automatik,Benzin,7.9,24547.0,Avantgarde Exclusive WideScreen Pano LED PTS,Gebrauchtwagen
audi,Audi A4,silber,08/2019,2019,33450,210,286,Automatik,Diesel,6.0,89399.0,Avant 50 TDI quattro Sport tiptronic AHK,Gebrauchtwagen
ford,Ford EcoSport,silber,07/2018,2018,15955,92,125,Schaltgetriebe,Benzin,6.2,53400.0,1.0 EB Cool&Connect SNYC Winter-Paket,Gebrauchtwagen
ford,Ford Fiesta,grau,02/2023,2023,21490,74,101,Schaltgetriebe,Benzin,5.3,15.0,1.0 EcoBoost ST-Line,Neuwagen
ford,Ford C-Max,grau,04/2015,2015,13250,74,101,Schaltgetriebe,Benzin,5.1,40000.0,Business Edition Navi Klimaaut PDC Shz Top gepfl,Gebrauchtwagen
mercedes-benz,Mercedes-Benz B 200,grau,10/2009,2009,7700,100,136,Schaltgetriebe,Benzin,6.7,140000.0,Autom-Klima-Sitzheizung-erst 70.000 KM,Gebrauchtwagen
opel,Opel Crossland X,rot,09/2022,2022,19780,96,131,Schaltgetriebe,Benzin,4.7,24400.0,Crossland Elegance #Start/Stop#KEYLESS#LED#SHZ,junger Gebrauchtwagen
skoda,Skoda Scala,grau,02/2020,2020,15980,85,116,Schaltgetriebe,Benzin,5.0,89520.0,1.0 TSI Schaltgetriebe - Style,junger Gebrauchtwagen
mercedes-benz,Mercedes-Benz GLC 250,weiß,10/2018,2018,33499,150,204,Automatik,Diesel,6.1,78177.0,d AMG Line 4Matic AHK,Gebrauchtwagen
dacia,Dacia Lodgy,weiß,08/2020,2020,14950,96,131,Schaltgetriebe,Benzin,6.2,81332.0,STEPWAY PLUS-NAVI-KAMERA-KLI.-AHK-1.HAND-7-SITZER,junger Gebrauchtwagen
mazda,Mazda 6,schwarz,11/2011,2011,4750,120,163,Schaltgetriebe,Diesel,5.4,239482.0,Kombi 2.2 CRDT Active,Gebrauchtwagen
bmw,BMW 525,grau,09/2011,2011,7998,150,204,Automatik,Diesel,6.1,294000.0,5er Sport-Aut.,Gebrauchtwagen
land-rover,Land Rover Defender,grau,01/2023,2023,101900,221,300,Automatik,Diesel,8.9,1000.0,130 D300 SE,Jahreswagen
dacia,Dacia Dokker,blau,10/2016,2016,8400,66,90,Schaltgetriebe,Diesel,4.2,167000.0,Stepway,Gebrauchtwagen
opel,Opel Astra,weiß,04/2023,2023,25000,96,131,Schaltgetriebe,Benzin,5.7,6000.0,1.2 Turbo Elegance (L),Jahreswagen
audi,Audi TT,silber,07/2000,2000,6900,132,179,Schaltgetriebe,Benzin,8.1,172000.0,TT Coupe 1.8 T,Gebrauchtwagen
mercedes-benz,Mercedes-Benz C 180,weiß,02/2016,2016,26900,115,156,Automatik,Benzin,5.7,161459.0,Coupé AMG Prestige Panoramadak Stoelverwarming Lee,Gebrauchtwagen
opel,Opel Meriva,schwarz,12/2010,2010,5550,74,101,Schaltgetriebe,Benzin,6.1,150000.0,"B Edition ""Tempomat ""Klimaautomatik",Gebrauchtwagen
ford,Ford Focus,silber,12/2020,2020,18490,92,125,Schaltgetriebe,Benzin,6.0,68900.0,Focus Turnier 1.0 EcoBoost S&S TITANIUM X *iACC*RF,junger Gebrauchtwagen
peugeot,Peugeot 208,weiß,02/2023,2023,19880,55,75,Schaltgetriebe,Benzin,4.1,5.0,1.2 Active Pack  LED/PDC/DAB/USB/TEMPOMAT/LM,Neuwagen
seat,SEAT Leon,grau,07/2020,2020,27990,140,190,Automatik,Benzin,6.2,45960.0,ST Cupra 300 4Drive 2.0 TSI DSG beats Audio,junger Gebrauchtwagen
hyundai,Hyundai TUCSON,braun,03/2021,2021,32490,110,150,Automatik,Benzin,5.7,20400.0,1.6 T-GDi 48V-Hybrid 2WD DCT Trend*NAVI*KAMERA*LED,junger Gebrauchtwagen
mazda,Mazda 2,blau,03/2018,2018,12885,66,90,Schaltgetriebe,Benzin,4.5,76711.0,Kizoku G-90 17-Zoll Klimaaut. EPH SHZ DAB BSM RCTA,Gebrauchtwagen
mercedes-benz,Mercedes-Benz V 250,braun,03/2018,2018,55550,140,190,Automatik,Diesel,6.0,104400.0,d AVA ED L COMAND+AHK+360°+Liege+Burmester Navi,Gebrauchtwagen
volkswagen,Volkswagen Eos,silber,04/2015,2015,7299,103,140,Schaltgetriebe,Diesel,4.8,232000.0,Basis BMT Navi Sport Tüv Alus Kamera,Gebrauchtwagen
mercedes-benz,Mercedes-Benz GLA 200,grau,07/2015,2015,20500,115,156,Automatik,Benzin,5.8,94200.0,7G-DCT Urban,Gebrauchtwagen
seat,SEAT Leon,rot,03/2022,2022,32785,110,150,Automatik,Benzin,4.8,6100.0,FR 1.5 eTSI ACT DSG NAVI LED BEATS ALCANTARA PANO,junger Gebrauchtwagen
kia,Kia Sportage,orange,08/2018,2018,18990,130,177,Schaltgetriebe,Benzin,7.3,74106.0,"GT-Plus Line -Technik-Paket, P-Dach, Xenon, Sit...",Gebrauchtwagen
porsche,Porsche Macan,schwarz,05/2018,2018,65890,265,360,Automatik,Benzin,8.9,28955.0,GTS 3.0 *PDLS+*PCM*MEMORY*CHRONO*LUFT*,Gebrauchtwagen
land-rover,Land Rover Range Rover Evoque,blau,03/2018,2018,32990,132,179,Automatik,Diesel,5.1,51950.0,2.0TD4 Aut. Landmark Edition,Gebrauchtwagen
skoda,Skoda Octavia,weiß,12/2020,2020,28880,110,150,Automatik,Diesel,3.7,26388.0,Combi 2.0 TDI DSG First Edition AHK Navi Virtual,junger Gebrauchtwagen
mini,MINI Cooper,braun,06/2013,2013,11950,90,122,Automatik,Benzin,5.7,106000.0,Cabrio Cooper/Navi/Klima/Sitzheizung,Gebrauchtwagen
ford,Ford Puma,grau,05/2021,2021,23750,92,125,Schaltgetriebe,Benzin,5.3,13500.0,"1,0 EcoBoost Hybrid 92kW ST-Line / Schiebed",junger Gebrauchtwagen
volkswagen,Volkswagen Tiguan,rot,05/2019,2019,24480,110,150,Automatik,Diesel,6.0,82156.0,2.0 TDI DSG Comfortline Navi LED FrontAss,Gebrauchtwagen
mercedes-benz,Mercedes-Benz C 200,silber,07/2002,2002,1500,85,116,Automatik,Diesel,7.1,272000.0,CDI Aut|PDC|TEMPO|KLIMAAUT|EL-SITZE,Gebrauchtwagen
audi,Audi Q7,schwarz,06/2006,2006,13900,171,232,Automatik,Diesel,10.5,230000.0,3.0 TDI quattro  7 Sitzer! AHK Kamera Volleder,Gebrauchtwagen
bmw,BMW X1,schwarz,06/2012,2012,8285,120,163,Schaltgetriebe,Diesel,5.3,194520.0,20d sDrive Pano LM PDC Klimaaut,Gebrauchtwagen
toyota,Toyota Yaris,grau,12/2016,2016,9449,51,69,Schaltgetriebe,Benzin,4.3,124547.0,"1,0 VVT-i Edition-S NAVI-BT-KLIMA-SHZ-CAM",Gebrauchtwagen
bmw,BMW 320,schwarz,12/2021,2021,32790,140,190,Automatik,Diesel,4.8,34069.0,d Touring Adv. StandHz GARANTIE bis 12/2026,junger Gebrauchtwagen
renault,Renault Clio,orange,11/2022,2022,18489,67,91,Schaltgetriebe,Benzin,4.9,10.0,ZEN TCe 90,junger Gebrauchtwagen
nissan,Nissan Townstar,rot,02/2023,2023,26440,96,131,Schaltgetriebe,Benzin,6.8,10.0,Kombi L1 1.3 DIG-T 130PS 6MT N-DESIGN Navi,Neuwagen
opel,Opel Corsa,rot,12/2014,2014,7990,85,116,Schaltgetriebe,Benzin,4.9,40800.0,1.0 (Ecotec) Turbo (ecoFLEX) Start/Stop Color Edit,Gebrauchtwagen
audi,Audi SQ7,grau,10/2016,2016,44900,320,435,Automatik,Diesel,7.5,124000.0,4.0 TDI Quattro*Bose*Virtual*Kamera*Luftfed*,Gebrauchtwagen
bmw,BMW 116,schwarz,07/2010,2010,4400,85,116,Schaltgetriebe,Diesel,5.2,212920.0,d Lim. (E81/E87) ATM 174000 KM,Gebrauchtwagen
fiat,Fiat 500,rot,03/2016,2016,10530,51,69,Schaltgetriebe,Benzin,4.9,37894.0,1.2 Lounge *PDC*KLIMA*ALU*GARANTIE*,Gebrauchtwagen
opel,Opel Tigra,silber,05/2005,2005,3490,92,125,Schaltgetriebe,Benzin,7.7,141000.0,H Lim. Edition*TÜV*NEU*,Gebrauchtwagen
audi,Audi A6,schwarz,04/2020,2020,48900,210,286,Automatik,Diesel,5.7,43450.0,Design 50 TDI qu.tiptr. AHK STDHZG RFK,junger Gebrauchtwagen
mercedes-benz,Mercedes-Benz C 220,schwarz,12/2005,2005,3990,110,150,Automatik,Diesel,6.9,259000.0,CDI Automatik Avantgarde DPF,Gebrauchtwagen
toyota,Toyota Corolla,silber,02/2021,2021,27900,112,152,Automatik,Benzin,3.7,17370.0,2.0 Hybrid Team D*LED*Cam*Navi*Totwinkel,junger Gebrauchtwagen
audi,Audi Q5,grau,07/2016,2016,23950,162,220,Automatik,Benzin,7.2,65776.0,"S-Line Quattro,Kamera,Leder,Navi,Soundsystem",Gebrauchtwagen
mercedes-benz,Mercedes-Benz GLE 400,weiß,08/2016,2016,35900,225,306,Automatik,Benzin,8.8,108000.0,4Matic 7G-TRONIC AMG Line,Gebrauchtwagen
seat,SEAT Leon,silber,03/2017,2017,16490,85,116,Automatik,Benzin,4.4,74000.0,1.0 TSI ST Style Ecomotive/Automatik/PDC,Gebrauchtwagen
volkswagen,Volkswagen Golf,silber,12/2021,2021,22520,81,110,Schaltgetriebe,Benzin,4.6,3720.0,VIII 1.0 TSI Active *ACC *DAB+ *LED,junger Gebrauchtwagen
opel,Opel Corsa,silber,12/2020,2020,14500,55,75,Schaltgetriebe,Benzin,5.6,26620.0,F Edition Kamera Navi PDC Sitzheizung,junger Gebrauchtwagen
skoda,Skoda Octavia,blau,08/2017,2017,15700,85,116,Automatik,Diesel,3.9,98000.0,Combi 1.6 TDI Drive Navi Kamera DSG LED,Gebrauchtwagen
audi,Audi A6,weiß,10/2014,2014,19990,140,190,Automatik,Diesel,4.6,99814.0,Avant 2.0 TDI ultra BiXenon Navigat. SHZ ...,Gebrauchtwagen
peugeot,Peugeot Rifter,weiß,03/2023,2023,28450,75,102,Schaltgetriebe,Diesel,5.3,3.0,"1,5 HDI ActivePack L2 DAB KLIMA PDC",Neuwagen
volkswagen,Volkswagen Golf,silber,08/2015,2015,13490,81,110,Automatik,Diesel,3.9,129000.0,VII Lim. Comfortline BMT,Gebrauchtwagen
citroen,Citroen Berlingo,weiß,04/2019,2019,27695,81,110,Schaltgetriebe,Benzin,5.5,52150.0,XL 110 SHINE XTR Klimaaut/Navi+Cam/7 Sitze,Gebrauchtwagen
volkswagen,Volkswagen Tiguan,schwarz,07/2013,2013,15700,103,140,Automatik,Diesel,6.0,95350.0,Sport & Style 2.0 TDI 4Motion DSG,Gebrauchtwagen
toyota,Toyota Proace,orange,09/2022,2022,45990,106,144,Schaltgetriebe,Diesel,5.5,50.0,"Verso 2.0 L1 Team D,6-Gang",junger Gebrauchtwagen
ford,Ford Mondeo,schwarz,03/2016,2016,9600,110,150,Automatik,Diesel,4.9,90200.0,"Turnier Business  Navi,PDC,Sitzh,8FachALU",Gebrauchtwagen
seat,SEAT Ibiza,schwarz,11/2020,2020,15480,70,95,Schaltgetriebe,Benzin,4.6,18749.0,1.0 TSI S&S,junger Gebrauchtwagen
renault,Renault Austral,schwarz,05/2023,2023,48490,147,200,Automatik,Benzin,4.6,1000.0,Iconic E-TECH Hybrid 200 Head-UP Navi Soundsystem,Jahreswagen
audi,Audi Q2,weiß,05/2018,2018,21790,110,150,Automatik,Benzin,5.2,100000.0,sport++TOP ANGEBOT++,Gebrauchtwagen
mercedes-benz,Mercedes-Benz C 300,silber,04/2019,2019,33350,190,258,Automatik,Benzin,6.6,27000.0,T AVANTGARDE+MULTIBEAM+ NAVI+SPURP+KAMERA Navi,Gebrauchtwagen
audi,Audi A6,grau,07/2011,2011,9980,150,204,Automatik,Diesel,5.3,271628.0,Lim. 3.0 TDI Bi-Xenon Navi Leder Kamera,Gebrauchtwagen
bmw,BMW 640,schwarz,05/2013,2013,25500,230,313,Automatik,Diesel,5.4,159800.0,640d Coupe,Gebrauchtwagen
nissan,Nissan Juke,grau,07/2020,2020,20990,86,117,Schaltgetriebe,Benzin,5.1,37486.0,N-Design 1.0 DIG-T 117 6 MT 4X2 LED Apple CarPlay,junger Gebrauchtwagen
volkswagen,Volkswagen Polo,weiß,08/2014,2014,7700,63,86,Schaltgetriebe,Benzin,5.8,155500.0,V Comfortline,Gebrauchtwagen
mercedes-benz,Mercedes-Benz E 200,grau,03/2012,2012,17250,100,136,Automatik,Diesel,5.1,123000.0,CDI DPF BlueEFFICIENCY 7G-TRONIC Avantgarde,Gebrauchtwagen
skoda,Skoda Fabia,blau,06/2017,2017,8490,77,105,Schaltgetriebe,Diesel,4.1,179100.0,Combi 1.4 TDI/1.Hand/Scheckheft/Navi/ACC/Klimaauto,Gebrauchtwagen
ford,Ford Ka/Ka+,silber,02/2006,2006,150,38,52,Schaltgetriebe,Benzin,5.9,103000.0,Ka 1.3,Gebrauchtwagen
audi,Audi Q5,weiß,11/2019,2019,27700,140,190,Schaltgetriebe,Diesel,5.8,99958.0,2.0 40 TDI quattro Matrix Virtual Navi Key,Gebrauchtwagen
ford,Ford Tourneo Courier,rot,04/2021,2021,20450,74,101,Schaltgetriebe,Diesel,4.2,24300.0,1.5 TDCi Sport,junger Gebrauchtwagen
citroen,Citroen Jumpy,weiß,07/2018,2018,17000,132,179,Automatik,Diesel,5.7,190300.0,Business M (L2) Kasten,Gebrauchtwagen
bmw,BMW 330,schwarz,05/2014,2014,11890,190,258,Automatik,Diesel,5.2,230270.0,"d Limousine xDrive PDC,KLIMAAUTOMATIK",Gebrauchtwagen
porsche,Porsche 991,schwarz,06/2016,2016,106123,309,420,Automatik,Benzin,7.9,88938.0,Turbo S Cabriolet*KERAMIK*CHRONO*BOSE*PDLS+,Gebrauchtwagen
mini,MINI Cooper S,grau,04/2019,2019,23500,141,192,Automatik,Benzin,5.7,93795.0,5-trg. JCW Trim LED Hamrkar. Navi+,Gebrauchtwagen
kia,Kia Rio,grau,03/2023,2023,23790,74,101,Schaltgetriebe,Benzin,4.5,1500.0,1.0T 100 Vision +NAVI+SHZ+LED+KAMERA+BT+LHZ+,Jahreswagen
kia,Kia Stonic,rot,06/2019,2019,19590,73,99,Automatik,Benzin,6.4,20000.0,Edition 7*AUTOMATIK*GARANTIE*1.HAND*,Gebrauchtwagen
seat,SEAT Ateca,rot,05/2023,2023,37047,110,150,Automatik,Diesel,5.2,10.0,"FR 2.0 TDI DSG FR, KESSY, el.Klappe, Navi, 5 J....",Neuwagen
porsche,Porsche Boxster,rot,04/2017,2017,55554,220,299,Schaltgetriebe,Benzin,7.4,27301.0,MY 2017 20 Zoll LED Navi Klappe,Gebrauchtwagen
porsche,Porsche 718 Spyder,weiß,06/2021,2021,117500,309,420,Automatik,Benzin,10.9,16000.0,718 Spyder,junger Gebrauchtwagen
volkswagen,Volkswagen Golf,schwarz,06/2015,2015,15600,135,184,Schaltgetriebe,Diesel,4.2,132500.0,GTD BlueMotion Technology,Gebrauchtwagen
renault,Renault Twingo,grau,05/2019,2019,10990,68,92,Schaltgetriebe,Benzin,4.7,36025.0,TCe 90 Le Coq Sportif,Gebrauchtwagen
porsche,Porsche Macan,gold,05/2017,2017,43500,185,252,Automatik,Benzin,7.2,65000.0,Macan PDK,Gebrauchtwagen
